rep,microsite_number,region,site,microsite,lat ,long,temperature,humidity,day ,month,year,date
1,1,Carrizo,Carrizo_4,shrub,35.11949,-119.62963,14.3,29.87,11,5,22,05/11/2022
2,1,Carrizo,Carrizo_4,square,35.11949,-119.62963,14.79,25.22,11,5,22,05/11/2022
3,1,Carrizo,Carrizo_4,triangle ,35.11949,-119.62963,15.71,28.87,11,5,22,05/11/2022
4,2,Carrizo,Carrizo_4,shrub,35.11929,-119.62958,16.62,24.94,11,5,22,05/11/2022
5,2,Carrizo,Carrizo_4,square,35.11929,-119.62958,19.04,23.39,11,5,22,05/11/2022
6,2,Carrizo,Carrizo_4,triangle ,35.11929,-119.62958,15.8,25.5,11,5,22,05/11/2022
7,3,Carrizo,Carrizo_4,shrub,35.11912,-119.62968,15.58,26.64,11,5,22,05/11/2022
8,3,Carrizo,Carrizo_4,square,35.11912,-119.62968,16.93,23.88,11,5,22,05/11/2022
9,3,Carrizo,Carrizo_4,triangle ,35.11912,-119.62968,16.32,25.8,11,5,22,05/11/2022
10,4,Carrizo,Carrizo_4,shrub,35.11908,-119.62946,16.72,26.6,11,5,22,05/11/2022
11,4,Carrizo,Carrizo_4,square,35.11908,-119.62946,17.73,25.24,11,5,22,05/11/2022
12,4,Carrizo,Carrizo_4,triangle ,35.11908,-119.62946,17.02,25.91,11,5,22,05/11/2022
13,5,Carrizo,Carrizo_4,shrub,35.1191,-11962942,16.73,24.96,11,5,22,05/11/2022
14,5,Carrizo,Carrizo_4,square,35.1191,-11962942,15.29,26.61,11,5,22,05/11/2022
15,5,Carrizo,Carrizo_4,triangle ,35.1191,-11962942,14.62,27.37,11,5,22,05/11/2022
16,6,Carrizo,Carrizo_4,shrub,35.11912,-119.62924,15.22,27.83,11,5,22,05/11/2022
17,6,Carrizo,Carrizo_4,square,35.11912,-119.62924,16.17,27.83,11,5,22,05/11/2022
18,6,Carrizo,Carrizo_4,triangle ,35.11912,-119.62924,16.47,25.55,11,5,22,05/11/2022
19,7,Carrizo,Carrizo_4,shrub,35.11908,-119.62905,13.93,27.81,11,5,22,05/11/2022
20,7,Carrizo,Carrizo_4,square,35.11908,-119.62905,13.74,28.66,11,5,22,05/11/2022
21,7,Carrizo,Carrizo_4,triangle ,35.11908,-119.62905,14.6,28.4,11,5,22,05/11/2022
22,8,Carrizo,Carrizo_4,shrub,35.11881,-119.6291,15.18,26.98,11,5,22,05/11/2022
23,8,Carrizo,Carrizo_4,square,35.11881,-119.6291,14.63,27.87,11,5,22,05/11/2022
24,8,Carrizo,Carrizo_4,triangle ,35.11881,-119.6291,14.36,28.32,11,5,22,05/11/2022
25,1,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60119,18.15,19.25,11,5,22,05/11/2022
26,2,Carrizo,Carrizo_Soda Lake,open,35.05613,-119.60137,17.84,18.92,11,5,22,05/11/2022
27,3,Carrizo,Carrizo_Soda Lake,open,35.05614,-119.60146,19.07,18.05,11,5,22,05/11/2022
28,4,Carrizo,Carrizo_Soda Lake,open,35.05618,-119.60149,19.24,18.08,11,5,22,05/11/2022
29,5,Carrizo,Carrizo_Soda Lake,open,35.0562,-119.60149,19.17,18.99,11,5,22,05/11/2022
30,6,Carrizo,Carrizo_Soda Lake,open,35.05634,-119.60142,19.14,18.4,11,5,22,05/11/2022
31,7,Carrizo,Carrizo_Soda Lake,open,35.05627,-119.60138,18.54,18.14,11,5,22,05/11/2022
32,8,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60126,18.42,18.75,11,5,22,05/11/2022
33,1,Carrizo,Carrizo_Soda Lake,square,35.05621,-119.60119,18.8,18.76,11,5,22,05/11/2022
34,1,Carrizo,Carrizo_Soda Lake,triangle ,35.05621,-119.60119,18.48,18.66,11,5,22,05/11/2022
35,2,Carrizo,Carrizo_Soda Lake,square,35.05614,-119.60146,19.93,17.78,11,5,22,05/11/2022
36,2,Carrizo,Carrizo_Soda Lake,triangle ,35.05614,-119.60146,18.46,18.63,11,5,22,05/11/2022
37,3,Carrizo,Carrizo_Soda Lake,square,35.0562,-119.60149,18.57,18.5,11,5,22,05/11/2022
38,3,Carrizo,Carrizo_Soda Lake,triangle ,35.0562,-119.60149,20.41,16.91,11,5,22,05/11/2022
39,4,Carrizo,Carrizo_Soda Lake,square,35.05627,-119.60138,18.49,18.66,11,5,22,05/11/2022
40,4,Carrizo,Carrizo_Soda Lake,triangle ,35.05627,-119.60138,19.03,18.5,11,5,22,05/11/2022
41,1,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60119,25.6,18.92,16,5,22,05/16/2022
42,2,Carrizo,Carrizo_Soda Lake,open,35.05613,-119.60137,25.68,19.11,16,5,22,05/16/2022
43,3,Carrizo,Carrizo_Soda Lake,open,35.05614,-119.60146,25.37,21.11,16,5,22,05/16/2022
44,4,Carrizo,Carrizo_Soda Lake,open,35.05618,-119.60149,24.05,21,16,5,22,05/16/2022
45,5,Carrizo,Carrizo_Soda Lake,open,35.0562,-119.60149,25.4,19.52,16,5,22,05/16/2022
46,6,Carrizo,Carrizo_Soda Lake,open,35.05634,-119.60142,25.04,19.59,16,5,22,05/16/2022
47,7,Carrizo,Carrizo_Soda Lake,open,35.05627,-119.60138,24.3,19.84,16,5,22,05/16/2022
48,8,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60126,25.15,19.51,16,5,22,05/16/2022
49,1,Carrizo,Carrizo_Soda Lake,square,35.05621,-119.60119,25.2,19.34,16,5,22,05/16/2022
50,1,Carrizo,Carrizo_Soda Lake,triangle ,35.05621,-119.60119,25.07,19.17,16,5,22,05/16/2022
51,2,Carrizo,Carrizo_Soda Lake,square,35.05614,-119.60146,24.34,20.82,16,5,22,05/16/2022
52,2,Carrizo,Carrizo_Soda Lake,triangle ,35.05614,-119.60146,24.02,20.77,16,5,22,05/16/2022
53,3,Carrizo,Carrizo_Soda Lake,square,35.0562,-119.60149,25.35,20.14,16,5,22,05/16/2022
54,3,Carrizo,Carrizo_Soda Lake,triangle ,35.0562,-119.60149,25.46,19.51,16,5,22,05/16/2022
55,4,Carrizo,Carrizo_Soda Lake,square,35.05627,-119.60138,25.76,19.48,16,5,22,05/16/2022
56,4,Carrizo,Carrizo_Soda Lake,triangle ,35.05627,-119.60138,24.05,20.53,16,5,22,05/16/2022
57,1,Carrizo,Carrizo_4,shrub,35.11949,-119.62963,27.22,17.64,17,5,22,05/16/2022
58,1,Carrizo,Carrizo_4,square,35.11949,-119.62963,27.56,17.04,17,5,22,05/17/2022
59,1,Carrizo,Carrizo_4,triangle ,35.11949,-119.62963,27.84,17.32,17,5,22,05/17/2022
60,2,Carrizo,Carrizo_4,shrub,35.11929,-119.62958,26.13,17.72,17,5,22,05/17/2022
61,2,Carrizo,Carrizo_4,square,35.11929,-119.62958,25.01,18.92,17,5,22,05/17/2022
62,2,Carrizo,Carrizo_4,triangle ,35.11929,-119.62958,25.7,18.6,17,5,22,05/17/2022
63,3,Carrizo,Carrizo_4,shrub,35.11912,-119.62968,27.85,16.99,17,5,22,05/17/2022
64,3,Carrizo,Carrizo_4,square,35.11912,-119.62968,27.81,16.61,17,5,22,05/17/2022
65,3,Carrizo,Carrizo_4,triangle ,35.11912,-119.62968,27.32,17.12,17,5,22,05/17/2022
66,4,Carrizo,Carrizo_4,shrub,35.11908,-119.62946,25.2,17.72,17,5,22,05/17/2022
67,4,Carrizo,Carrizo_4,square,35.11908,-119.62946,26.56,18.23,17,5,22,05/17/2022
68,4,Carrizo,Carrizo_4,triangle ,35.11908,-119.62946,26.89,17.75,17,5,22,05/17/2022
69,5,Carrizo,Carrizo_4,shrub,35.1191,-11962942,25.53,19.13,17,5,22,05/17/2022
70,5,Carrizo,Carrizo_4,square,35.1191,-11962942,25.77,18.51,17,5,22,05/17/2022
71,5,Carrizo,Carrizo_4,triangle ,35.1191,-11962942,26.52,18.38,17,5,22,05/17/2022
72,6,Carrizo,Carrizo_4,shrub,35.11912,-119.62924,28.23,16.12,17,5,22,05/17/2022
73,6,Carrizo,Carrizo_4,square,35.11912,-119.62924,28.03,16.25,17,5,22,05/17/2022
74,6,Carrizo,Carrizo_4,triangle ,35.11912,-119.62924,28.25,16.02,17,5,22,05/17/2022
75,7,Carrizo,Carrizo_4,shrub,35.11908,-119.62905,25.61,17.94,17,5,22,05/17/2022
76,7,Carrizo,Carrizo_4,square,35.11908,-119.62905,26.43,17.74,17,5,22,05/17/2022
77,7,Carrizo,Carrizo_4,triangle ,35.11908,-119.62905,27.21,17.13,17,5,22,05/17/2022
78,8,Carrizo,Carrizo_4,shrub,35.11881,-119.6291,26.35,16.23,17,5,22,05/17/2022
79,8,Carrizo,Carrizo_4,square,35.11881,-119.6291,26.98,16.44,17,5,22,05/17/2022
80,8,Carrizo,Carrizo_4,triangle ,35.11881,-119.6291,27.33,16.33,17,5,22,05/17/2022
81,1,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60119,26,14.11,21,5,22,05/21/2022
82,2,Carrizo,Carrizo_Soda Lake,open,35.05613,-119.60137,27.13,13.53,21,5,22,05/21/2022
83,3,Carrizo,Carrizo_Soda Lake,open,35.05614,-119.60146,27.76,13.52,21,5,22,05/21/2022
84,4,Carrizo,Carrizo_Soda Lake,open,35.05618,-119.60149,27.69,13,21,5,22,05/21/2022
85,5,Carrizo,Carrizo_Soda Lake,open,35.0562,-119.60149,26.69,13.52,21,5,22,05/21/2022
86,6,Carrizo,Carrizo_Soda Lake,open,35.05634,-119.60142,26.72,13.67,21,5,22,05/21/2022
87,7,Carrizo,Carrizo_Soda Lake,open,35.05627,-119.60138,26.51,13.74,21,5,22,05/21/2022
88,8,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60126,27.6,13.42,21,5,22,05/21/2022
89,1,Carrizo,Carrizo_Soda Lake,square,35.05621,-119.60119,26.55,14.26,21,5,22,05/21/2022
90,1,Carrizo,Carrizo_Soda Lake,triangle ,35.05621,-119.60119,27.21,13.59,21,5,22,05/21/2022
91,2,Carrizo,Carrizo_Soda Lake,square,35.05614,-119.60146,18.36,12.81,21,5,22,05/21/2022
92,2,Carrizo,Carrizo_Soda Lake,triangle ,35.05614,-119.60146,27.58,13.26,21,5,22,05/21/2022
93,3,Carrizo,Carrizo_Soda Lake,square,35.0562,-119.60149,26.82,13.8,21,5,22,05/21/2022
94,3,Carrizo,Carrizo_Soda Lake,triangle ,35.0562,-119.60149,26.95,13.65,21,5,22,05/21/2022
95,4,Carrizo,Carrizo_Soda Lake,square,35.05627,-119.60138,27.1,13.8,21,5,22,05/21/2022
96,4,Carrizo,Carrizo_Soda Lake,triangle ,35.05627,-119.60138,28.46,13.15,21,5,22,05/21/2022
97,1,Carrizo,Carrizo_4,shrub,35.11949,-119.62963,23.58,18.23,22,5,22,05/22/2022
98,1,Carrizo,Carrizo_4,square,35.11949,-119.62963,24.29,17.9,22,5,22,05/22/2022
99,1,Carrizo,Carrizo_4,triangle ,35.11949,-119.62963,24.37,17.66,22,5,22,05/22/2022
100,2,Carrizo,Carrizo_4,shrub,35.11929,-119.62958,24.62,17.1,22,5,22,05/22/2022
101,2,Carrizo,Carrizo_4,square,35.11929,-119.62958,24.75,17.65,22,5,22,05/22/2022
102,2,Carrizo,Carrizo_4,triangle ,35.11929,-119.62958,24.58,17.54,22,5,22,05/22/2022
103,3,Carrizo,Carrizo_4,shrub,35.11912,-119.62968,25.54,16.23,22,5,22,05/22/2022
104,3,Carrizo,Carrizo_4,square,35.11912,-119.62968,26.29,15.69,22,5,22,05/22/2022
105,3,Carrizo,Carrizo_4,triangle ,35.11912,-119.62968,26.16,18.75,22,5,22,05/22/2022
106,4,Carrizo,Carrizo_4,shrub,35.11908,-119.62946,25.79,16.23,22,5,22,05/22/2022
107,4,Carrizo,Carrizo_4,square,35.11908,-119.62946,25.63,16.19,22,5,22,05/22/2022
108,4,Carrizo,Carrizo_4,triangle ,35.11908,-119.62946,25.26,16.46,22,5,22,05/22/2022
109,5,Carrizo,Carrizo_4,shrub,35.1191,-11962942,26.01,16.06,22,5,22,05/22/2022
110,5,Carrizo,Carrizo_4,square,35.1191,-11962942,26.22,15.82,22,5,22,05/22/2022
111,5,Carrizo,Carrizo_4,triangle ,35.1191,-11962942,25.01,16.64,22,5,22,05/22/2022
112,6,Carrizo,Carrizo_4,shrub,35.11912,-119.62924,26.06,16.09,22,5,22,05/22/2022
113,6,Carrizo,Carrizo_4,square,35.11912,-119.62924,26.39,15.15,22,5,22,05/22/2022
114,6,Carrizo,Carrizo_4,triangle ,35.11912,-119.62924,26.39,15.54,22,5,22,05/22/2022
115,7,Carrizo,Carrizo_4,shrub,35.11908,-119.62905,24.88,16.84,22,5,22,05/22/2022
116,7,Carrizo,Carrizo_4,square,35.11908,-119.62905,25.56,16.15,22,5,22,05/22/2022
117,7,Carrizo,Carrizo_4,triangle ,35.11908,-119.62905,26.2,16.3,22,5,22,05/22/2022
118,8,Carrizo,Carrizo_4,shrub,35.11881,-119.6291,26.21,15.58,22,5,22,05/22/2022
119,8,Carrizo,Carrizo_4,square,35.11881,-119.6291,26.29,15.71,22,5,22,05/22/2022
120,8,Carrizo,Carrizo_4,triangle ,35.11881,-119.6291,2.28,16.23,22,5,22,05/22/2022
121,1,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60119,22.2,37.44,28,5,22,05/28/2022
122,2,Carrizo,Carrizo_Soda Lake,open,35.05613,-119.60137,21.71,37.17,28,5,22,05/28/2022
123,3,Carrizo,Carrizo_Soda Lake,open,35.05614,-119.60146,23.08,35.21,28,5,22,05/28/2022
124,4,Carrizo,Carrizo_Soda Lake,open,35.05618,-119.60149,22.26,25.37,28,5,22,05/28/2022
125,5,Carrizo,Carrizo_Soda Lake,open,35.0562,-119.60149,21.9,36.01,28,5,22,05/28/2022
126,6,Carrizo,Carrizo_Soda Lake,open,35.05634,-119.60142,22.16,35.01,28,5,22,05/28/2022
127,7,Carrizo,Carrizo_Soda Lake,open,35.05627,-119.60138,23.22,34.39,28,5,22,05/28/2022
128,8,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60126,22.67,35.12,28,5,22,05/28/2022
129,1,Carrizo,Carrizo_Soda Lake,square,35.05621,-119.60119,21.9,37.7,28,5,22,05/28/2022
130,1,Carrizo,Carrizo_Soda Lake,triangle ,35.05621,-119.60119,23.1,39.68,28,5,22,05/28/2022
131,2,Carrizo,Carrizo_Soda Lake,square,35.05614,-119.60146,22.34,36.6,28,5,22,05/28/2022
132,2,Carrizo,Carrizo_Soda Lake,triangle ,35.05614,-119.60146,23.39,35.29,28,5,22,05/28/2022
133,3,Carrizo,Carrizo_Soda Lake,square,35.0562,-119.60149,21.32,37.68,28,5,22,05/28/2022
134,3,Carrizo,Carrizo_Soda Lake,triangle ,35.0562,-119.60149,22.04,37.01,28,5,22,05/28/2022
135,4,Carrizo,Carrizo_Soda Lake,square,35.05627,-119.60138,22.67,35.12,28,5,22,05/28/2022
136,4,Carrizo,Carrizo_Soda Lake,triangle ,35.05627,-119.60138,25,32.3,28,5,22,05/28/2022
137,1,Carrizo,Carrizo_4,shrub,35.11949,-119.62963,23.08,35.66,29,5,22,05/29/2022
138,1,Carrizo,Carrizo_4,square,35.11949,-119.62963,22.43,38.45,29,5,22,05/29/2022
139,1,Carrizo,Carrizo_4,triangle ,35.11949,-119.62963,20.49,40.54,29,5,22,05/29/2022
140,2,Carrizo,Carrizo_4,shrub,35.11929,-119.62958,21.58,38.74,29,5,22,05/29/2022
141,2,Carrizo,Carrizo_4,square,35.11929,-119.62958,21.92,38.37,29,5,22,05/29/2022
142,2,Carrizo,Carrizo_4,triangle ,35.11929,-119.62958,22.91,35.25,29,5,22,05/29/2022
143,3,Carrizo,Carrizo_4,shrub,35.11912,-119.62968,21.38,38.45,29,5,22,05/29/2022
144,3,Carrizo,Carrizo_4,square,35.11912,-119.62968,21.65,38.2,29,5,22,05/29/2022
145,3,Carrizo,Carrizo_4,triangle ,35.11912,-119.62968,20.69,39.32,29,5,22,05/29/2022
146,4,Carrizo,Carrizo_4,shrub,35.11908,-119.62946,21.7,38.23,29,5,22,05/29/2022
147,4,Carrizo,Carrizo_4,square,35.11908,-119.62946,22.3,34.72,29,5,22,05/29/2022
148,4,Carrizo,Carrizo_4,triangle ,35.11908,-119.62946,22.38,37.63,29,5,22,05/29/2022
149,5,Carrizo,Carrizo_4,shrub,35.1191,-11962942,21.36,39.37,29,5,22,05/29/2022
150,5,Carrizo,Carrizo_4,square,35.1191,-11962942,23.15,36.76,29,5,22,05/29/2022
151,5,Carrizo,Carrizo_4,triangle ,35.1191,-11962942,22.73,37,29,5,22,05/29/2022
152,6,Carrizo,Carrizo_4,shrub,35.11912,-119.62924,21.52,39.19,29,5,22,05/29/2022
153,6,Carrizo,Carrizo_4,square,35.11912,-119.62924,21.8,36.89,29,5,22,05/29/2022
154,6,Carrizo,Carrizo_4,triangle ,35.11912,-119.62924,21.39,38,29,5,22,05/29/2022
155,7,Carrizo,Carrizo_4,shrub,35.11908,-119.62905,21.27,36.34,29,5,22,05/29/2022
156,7,Carrizo,Carrizo_4,square,35.11908,-119.62905,20.55,37.23,29,5,22,05/29/2022
157,7,Carrizo,Carrizo_4,triangle ,35.11908,-119.62905,20.82,38.09,29,5,22,05/29/2022
158,8,Carrizo,Carrizo_4,shrub,35.11881,-119.6291,21.3,36.48,29,5,22,05/29/2022
159,8,Carrizo,Carrizo_4,square,35.11881,-119.6291,22,37.27,29,5,22,05/29/2022
160,8,Carrizo,Carrizo_4,triangle ,35.11881,-119.6291,21.49,37.45,29,5,22,05/29/2022
161,1,Mojave,Tecopa_1,shrub,35.85309,-116.18443,38.42,5.03,14,5,22,05/14/2022
162,1,Mojave,Tecopa_1,square,35.85309,-116.18443,38.95,6.19,14,5,22,05/14/2022
163,1,Mojave,Tecopa_1,triangle,35.85309,-116.18443,38.77,5.07,14,5,22,05/14/2022
164,2,Mojave,Tecopa_1,shrub,35.85297,-116.18407,38.68,5.03,14,5,22,05/14/2022
165,2,Mojave,Tecopa_1,square,35.85297,-116.18407,38.83,5.61,14,5,22,05/14/2022
166,2,Mojave,Tecopa_1,triangle,35.85297,-116.18407,38.76,5.27,14,5,22,05/14/2022
167,3,Mojave,Tecopa_1,shrub,35.85294,-116.18396,38.42,5.17,14,5,22,05/14/2022
168,3,Mojave,Tecopa_1,square,35.85294,-116.18396,39.32,6.45,14,5,22,05/14/2022
169,3,Mojave,Tecopa_1,triangle,35.85294,-116.18396,39.13,4.92,14,5,22,05/14/2022
170,4,Mojave,Tecopa_1,shrub,35.85303,-116.18407,37.76,5.23,14,5,22,05/14/2022
171,4,Mojave,Tecopa_1,square,35.85303,-116.18407,38.71,5.22,14,5,22,05/14/2022
172,4,Mojave,Tecopa_1,triangle,35.85303,-116.18407,38.24,5.16,14,5,22,05/14/2022
173,1,Mojave,Tecopa_open,open,35.85541,-116.17905,37.54,5.23,14,5,22,05/14/2022
174,2,Mojave,Tecopa_open,open,35.85546,-116.17902,37.46,5.27,14,5,22,05/14/2022
175,3,Mojave,Tecopa_open,open,35.85541,-116.17905,37.73,5.27,14,5,22,05/14/2022
176,4,Mojave,Tecopa_open,open,35.85549,-116.17905,37.62,5.68,14,5,22,05/14/2022
177,1,Mojave,Tecopa_open,triangle,35.85541,-116.17905,37.25,6.27,14,5,22,05/14/2022
178,1,Mojave,Tecopa_open,square,35.85541,-116.17905,37.44,5.75,14,5,22,05/14/2022
179,2,Mojave,Tecopa_open,triangle,35.85546,-116.17902,37.36,5.46,14,5,22,05/14/2022
180,2,Mojave,Tecopa_open,square,35.85546,-116.17902,37.48,5.39,14,5,22,05/14/2022
181,1,Mojave,Tecopa_1,shrub,35.85309,-116.18443,29.74,9.71,26,5,22,05/26/2022
182,1,Mojave,Tecopa_1,square,35.85309,-116.18443,39.59,9.67,26,5,22,05/26/2022
183,1,Mojave,Tecopa_1,triangle,35.85309,-116.18443,39.68,9.49,26,5,22,05/26/2022
184,2,Mojave,Tecopa_1,shrub,35.85297,-116.18407,40.56,9.34,26,5,22,05/26/2022
185,2,Mojave,Tecopa_1,square,35.85297,-116.18407,40.11,9.25,26,5,22,05/26/2022
186,2,Mojave,Tecopa_1,triangle,35.85297,-116.18407,40.36,9.15,26,5,22,05/26/2022
187,3,Mojave,Tecopa_1,shrub,35.85294,-116.18396,39.72,9.55,26,5,22,05/26/2022
188,3,Mojave,Tecopa_1,square,35.85294,-116.18396,39.63,9.54,26,5,22,05/26/2022
189,3,Mojave,Tecopa_1,triangle,35.85294,-116.18396,39.05,9.81,26,5,22,05/26/2022
190,4,Mojave,Tecopa_1,shrub,35.85303,-116.18407,39.73,9.63,26,5,22,05/26/2022
191,4,Mojave,Tecopa_1,square,35.85303,-116.18407,39.49,9.63,26,5,22,05/26/2022
192,4,Mojave,Tecopa_1,triangle,35.85303,-116.18407,39.42,9.52,26,5,22,05/26/2022